,name,album,artist,release_date,length,popularity,track_id,mode,acousticness,danceability,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,duration_ms,time_signature,genre
63,Eu Sei de Cor - Ao Vivo | Acústico,Agora É Que São Elas Ao Vivo (Acústico) - EP,Marília Mendonça,2016-09-02,174663,60,45wqPwIH4A5cr2IyyD4WKf,0,0.424,0.855,0.601,0.0,0.241,0.7759999999999999,-5.902,0.0346,124.016,174663,4,"['pop nacional', 'sertanejo universitario']"
64,Eu Ligo Pra Você - Ao Vivo,Ao Vivo em São José do Rio Preto (Deluxe),Zé Neto & Cristiano,2016-11-11,173666,60,6lcUzde7peeHxraZ3Maf5k,1,0.398,0.6759999999999999,0.768,0.0,0.636,0.473,-4.133,0.0298,111.995,173667,4,['sertanejo pop']
65,Astronomia,Astronomia,Vicetone,2016-09-16,198095,77,3hWfKBt3n7j1xqIy6LA5ve,1,0.00561,0.653,0.945,0.915,0.439,0.326,-2.634,0.096,126.093,198095,4,"['big room', 'edm', 'electro house', 'gaming edm', 'pop edm', 'progressive electro house', 'tropical house']"
66,Quebra Cabeça,Quebra Cabeça,Hungria Hip Hop,2016-12-15,275696,59,7tlWwaEioNXTYZFmuMELdc,0,0.705,0.7979999999999999,0.418,7.840000000000001e-05,0.0834,0.373,-10.655,0.0375,124.943,275696,4,"['brazilian edm', 'brazilian hip hop', 'rap df', 'trap brasileiro']"
67,Em Teus Braços,Fornalha Dunamis,Laura Souguellis,2016-04-26,733283,59,1lymSqz42DeEn03NMn9BiT,1,0.53,0.296,0.365,0.0,0.0964,0.256,-8.881,0.0316,135.173,733283,4,['adoracao']
68,Work,ANTI (Deluxe),Rihanna,2016-01-28,219320,76,72TFWvU3wUYdUuxejTTIzt,1,0.0752,0.725,0.534,0.0,0.0919,0.5579999999999999,-6.238,0.0946,91.97399999999999,219320,4,"['pop', 'pop rap', 'rap', 'toronto rap', 'trap', 'urban contemporary']"
69,Impressionando os Anjos,Impressionando os Anjos,Gustavo Mioto,2016-10-20,212949,59,4tbDsuukvtfxlwEToGeb0i,1,0.383,0.625,0.7390000000000001,0.0,0.109,0.427,-2.294,0.0314,137.915,212949,4,"['sertanejo', 'sertanejo pop', 'sertanejo universitario']"
70,Decide Aí - Na Praia / Ao Vivo,Na Praia (Ao Vivo),Matheus & Kauan,2016-02-26,162960,59,2CKg2u26mtyRYodwbxmA8l,0,0.0913,0.607,0.865,0.0,0.354,0.545,-3.63,0.094,135.489,162960,4,"['pop nacional', 'sertanejo universitario']"
71,My Way,My Way,Calvin Harris,2016-09-16,219159,75,1vvNmPOiUuyCbgWmtc6yfm,0,0.0935,0.8190000000000001,0.9129999999999999,3.72e-05,0.161,0.536,-3.059,0.0427,119.989,219160,4,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']"
72,Regime Fechado - Ao Vivo,Simone & Simaria (Ao Vivo),Simone & Simaria,2016-10-28,232485,59,3laDGpbCmdrGOhjrcYIBYB,0,0.0597,0.6659999999999999,0.8809999999999999,0.0,0.403,0.847,-3.137,0.114,137.915,232486,4,"['latin', 'latin pop', 'reggaeton', 'reggaeton colombiano']"
73,Dangerous Woman,Dangerous Woman,Ariana Grande,2016-05-20,235946,76,7l94dyN2hX9c6wWcZQuOGJ,0,0.0529,0.664,0.602,0.0,0.356,0.289,-5.369,0.0412,134.049,235947,3,"['dance pop', 'pop', 'post-teen pop']"
74,Send My Love (To Your New Lover),25,Adele,2016-06-24,223080,71,4BHzQ9C00ceJxfG16AlNWb,0,0.0415,0.69,0.524,3.16e-06,0.17,0.562,-8.39,0.103,164.023,223080,4,"['british soul', 'pop', 'pop soul', 'uk pop']"
75,O Que Falta Em Você Sou Eu - Ao Vivo,Marília Mendonça - Ao Vivo,Marília Mendonça,2016-03-04,197916,59,3XSefjiSHsD34F7clH84xa,1,0.134,0.67,0.6709999999999999,0.0,0.178,0.5329999999999999,-5.214,0.0391,143.941,197917,4,"['pop nacional', 'sertanejo universitario']"
76,I Took A Pill In Ibiza - Seeb Remix,"At Night, Alone.",Mike Posner,2016-05-06,197933,76,0vbtURX4qv1l7besfwmnD8,0,0.0353,0.664,0.7140000000000001,8.42e-06,0.0843,0.71,-6.645,0.111,101.969,197933,4,"['dance pop', 'pop', 'pop rap']"
77,Dependente - Acústico,Dependente (Acústico) - Single,Sorriso Maroto,2016-10-14,195242,58,6pp7MsJ1mASkSpUItyk61r,1,0.816,0.584,0.409,0.0,0.091,0.333,-6.372999999999999,0.0309,162.044,195243,4,"['pagode', 'sertanejo universitario']"
78,10% - Ao Vivo,Ao Vivo Em Goiânia,Maiara & Maraisa,2016-03-04,174653,59,2wFnRPjuqwNySFiK0Qfg8L,0,0.482,0.632,0.95,0.0,0.84,0.596,-2.85,0.111,154.006,174653,4,"['batidao romantico', 'funk carioca', 'funk ostentacao', 'funk paulista']"
79,Dark Necessities,The Getaway,Red Hot Chili Peppers,2016-06-17,302000,73,2oaK4JLVnmRGIO9ytBE1bt,0,0.0722,0.7,0.742,0.0199,0.11,0.197,-6.777,0.0716,91.959,302000,4,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock']"
80,Sentimento - Ao vivo,O Rappa - Acústico Oficina Francisco Brennand (Deluxe) [Ao Vivo],O Rappa,2016-05-27,252789,58,0vaISMFBEhY4ssii1zCGUQ,0,0.115,0.4379999999999999,0.84,0.0416,0.95,0.86,-6.303,0.0345,92.182,252790,4,"['brazilian hip hop', 'brazilian reggae', 'brazilian rock', 'latin alternative', 'rock nacional brasileiro']"
81,Sentimento Louco - Ao Vivo,Marília Mendonça - Ao Vivo,Marília Mendonça,2016-03-04,169864,58,5YdC74tZejyq3vurDOLFYz,1,0.17,0.674,0.722,0.0,0.178,0.511,-4.749,0.0686,148.101,169865,4,"['pop nacional', 'sertanejo universitario']"
82,Nada Nada - Ao Vivo,Novas Histórias (Ao Vivo),Henrique & Juliano,2016-03-18,156000,58,0GR7ZABhVF9GbxghIx2RRv,1,0.306,0.606,0.9470000000000001,0.0,0.454,0.907,-3.422,0.0465,169.857,156000,4,"['pagode', 'pagode novo']"
83,When We Were Young,25,Adele,2016-06-24,290906,72,7IWkJwX9C0J7tHurTD7ViL,1,0.348,0.381,0.594,0.0,0.0925,0.273,-5.97,0.0486,143.86,290907,4,"['british soul', 'pop', 'pop soul', 'uk pop']"
84,BOOMBAYAH,SQUARE ONE,BLACKPINK,2016-08-08,240848,77,3yHQKddM8SVCRnuPSo3HPN,0,0.00264,0.6579999999999999,0.836,1.02e-06,0.507,0.387,-3.282,0.0549,124.969,240849,4,"['k-pop', 'k-pop girl group']"
85,Sim ou não (participação especial Maluma),Sim ou não (Participação especial Maluma),Anitta,2016-07-28,206270,60,4FxumkF81ICxITeqxx4nK9,1,0.433,0.818,0.84,1.16e-06,0.114,0.889,-3.328,0.092,99.00399999999999,206270,4,"['funk carioca', 'funk das antigas', 'funk pop', 'pagode baiano', 'pop nacional']"
86,24K Magic,24K Magic,Bruno Mars,2016-11-17,225983,77,6b8Be6ljOzmkOmFslEb23P,1,0.034,0.818,0.8029999999999999,0.0,0.153,0.632,-4.282,0.0797,106.97,225983,4,"['dance pop', 'pop', 'post-teen pop']"
